latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-18.08589,-59.59832,308.63,1,1,2024-06-27,0154,T,75,6.1NRT,286.83,10.27,N
-18.0554,-59.57468,311.91,1,1,2024-06-27,0154,T,84,6.1NRT,286.63,12.06,N
-18.0567,-59.58395,305.46,1,1,2024-06-27,0154,T,64,6.1NRT,286.56,7.61,N
-18.03897,-59.58673,306.17,1,1,2024-06-27,0154,T,67,6.1NRT,286.52,8.23,N
-18.04027,-59.596,335.66,1,1,2024-06-27,0154,T,100,6.1NRT,287.73,37.9,N
-18.04157,-59.60528,334.27,1,1,2024-06-27,0154,T,100,6.1NRT,287.79,35.42,N
-17.58886,-57.26222,302.23,1.17,1.08,2024-06-27,0154,T,48,6.1NRT,288.92,7.54,N
-17.83323,-59.63705,303.34,1,1,2024-06-27,0154,T,55,6.1NRT,287.66,6.81,N
-17.82436,-59.63844,306.01,1,1,2024-06-27,0154,T,66,6.1NRT,287.27,8.53,N
-17.86865,-60.3525,310.01,1.01,1,2024-06-27,0154,T,79,6.1NRT,287.11,11.51,N
-17.86992,-60.36187,352.06,1.01,1,2024-06-27,0154,T,100,6.1NRT,288.72,69.84,N
-17.85819,-60.35089,303.33,1.01,1,2024-06-27,0154,T,55,6.1NRT,286.26,7.67,N
-17.85947,-60.36025,318.72,1.01,1,2024-06-27,0154,T,97,6.1NRT,286.97,19.12,N
-17.8174,-60.25229,314.43,1.01,1,2024-06-27,0154,T,89,6.1NRT,286.79,15.33,N
-17.75221,-59.91142,317.87,1,1,2024-06-27,0154,T,96,6.1NRT,288.2,17.51,N
-17.7535,-59.92069,365.58,1,1,2024-06-27,0154,T,100,6.1NRT,292.3,104.06,N
-17.75478,-59.92995,343.11,1,1,2024-06-27,0154,T,100,6.1NRT,289.72,50.59,N
-17.79203,-60.39921,300.87,1.01,1.01,2024-06-27,0154,T,35,6.1NRT,286.52,5.73,N
-17.7933,-60.40857,300.51,1.01,1.01,2024-06-27,0154,T,29,6.1NRT,286.52,5.48,N
-17.72573,-59.98177,303.46,1,1,2024-06-27,0154,T,55,6.1NRT,287.51,6.59,N
-17.72701,-59.99104,332.87,1,1,2024-06-27,0154,T,100,6.1NRT,288.79,33.99,N
-17.72829,-60.0003,337.27,1,1,2024-06-27,0154,T,100,6.1NRT,288.65,40.11,N
-17.70869,-59.99968,304.32,1,1,2024-06-27,0154,T,59,6.1NRT,287.33,7.5,N
-17.70997,-60.00895,316.33,1,1,2024-06-27,0154,T,93,6.1NRT,287.93,16.14,N
-17.71126,-60.01822,338.74,1,1,2024-06-27,0154,T,100,6.1NRT,289.66,42.95,N
-17.71254,-60.02748,313.34,1,1,2024-06-27,0154,T,87,6.1NRT,287.67,13.76,N
-17.76126,-60.38105,309.92,1.01,1,2024-06-27,0154,T,79,6.1NRT,286.96,10.93,N
-17.75235,-60.38241,314.2,1.01,1,2024-06-27,0154,T,89,6.1NRT,286.78,14.13,N
-17.72687,-60.32906,300.65,1.01,1,2024-06-27,0154,T,31,6.1NRT,286.3,6,N
-17.71797,-60.33043,318.9,1.01,1,2024-06-27,0154,T,98,6.1NRT,286.83,18.84,N
-17.79077,-60.86831,334.19,1.03,1.02,2024-06-27,0154,T,100,6.1NRT,288.34,38.06,N
-17.23746,-57.31341,302.16,1.17,1.08,2024-06-27,0154,T,47,6.1NRT,289.31,7.48,N
-17.23908,-57.3242,300.03,1.17,1.08,2024-06-27,0154,T,10,6.1NRT,288.83,5.96,N
-17.67568,-60.36224,301.39,1.01,1,2024-06-27,0154,T,41,6.1NRT,286.9,6.3,N
-17.67696,-60.37157,318.12,1.01,1,2024-06-27,0154,T,96,6.1NRT,287.61,18.31,N
-17.64884,-60.23316,328.86,1.01,1,2024-06-27,0154,T,100,6.1NRT,287.56,29.83,N
-17.66678,-60.3636,311.36,1.01,1,2024-06-27,0154,T,82,6.1NRT,287.11,12.18,N
-17.66806,-60.37294,340.12,1.01,1,2024-06-27,0154,T,100,6.1NRT,288.08,45.85,N
-17.66934,-60.38227,355.63,1.01,1,2024-06-27,0154,T,100,6.1NRT,288.54,77.74,N
-17.64763,-60.29036,317.84,1.01,1,2024-06-27,0154,T,96,6.1NRT,286.97,18.11,N
-17.62606,-60.3317,302.94,1.01,1,2024-06-27,0154,T,52,6.1NRT,286.39,7.32,N
-17.62733,-60.34103,332.26,1.01,1,2024-06-27,0154,T,100,6.1NRT,287.81,34.58,N
-17.61078,-60.28646,301.84,1.01,1,2024-06-27,0154,T,45,6.1NRT,286.17,6.58,N
-17.51065,-59.63037,326.88,1,1,2024-06-27,0154,T,100,6.1NRT,290.61,26.48,N
-17.5774,-60.31642,303.45,1.01,1,2024-06-27,0154,T,55,6.1NRT,286.93,7.36,N
-17.57869,-60.32575,361.39,1.01,1,2024-06-27,0154,T,100,6.1NRT,290,93.14,N
-17.57997,-60.33507,310.52,1.01,1,2024-06-27,0154,T,80,6.1NRT,286.86,11.45,N
-17.59536,-60.44711,316.3,1.01,1.01,2024-06-27,0154,T,93,6.1NRT,287.22,16.87,N
-17.60177,-60.4939,321.11,1.01,1.01,2024-06-27,0154,T,100,6.1NRT,286.94,21.58,N
